CALUMNO,CICLO_ACTUAL,DMODALIDADINGRESO,DBECA_ESTADO,NACIMIENTO_CDEPARTAMENTO,FLAG_SITUACIONLAB,DCAT_PAGO,PDESCUENTO_MAT,MONTO_MAT,MONTO_CUOTA,NCUMOROSO_PERIODO,MONTO_CUMOROSO3,RECORDSEGMENTO,NCURSO_RETIRADO_ACUM,NCURSO_DESAPROBADO,NCURSO_MATRICULA_ACUM,NPROMEDIO_ACUM,NFALTAS,COLEGIO_ESCALA,COLEGIO_PENSION,EE_TIPO,MONTO_DEUDA_ALCIERRE,RIESGO_INASISTENCIA,PDESCUENTO_CUOTA,PREDICHO
1283483,1,Rendimiento Superior,,,NO,CATEGORIA C,0.0,295.0,1798.0,0,,TERCIO SUPERIOR,0,0,5,14.2,41.0,B,600.0,Particular,,RIESGO ALTO,0.0,0.0
1263920,4,Exonerado,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,1568.0,MEDIA INFERIOR,1,2,11,10.13,190.0,A,,Particular,,RIESGO POTENCIAL,0.0,0.0
1249344,2,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,4704.0,MEDIA INFERIOR,0,1,15,10.8,223.0,A,250.0,Particular,2766.0,RIESGO POTENCIAL,0.0,0.00729352638674166
1250675,1,Regular,,15.0,SI,CATEGORIA C,0.0,295.0,2133.0,0,,MEDIA INFERIOR,4,3,20,8.43,257.0,B,440.0,Particular Laico,2133.0,RIESGO ALTO,0.0,0.0
1250541,1,Regular,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,0,0,13,13.0,106.0, ,,,,SIN RIESGO,0.0,0.0
1250653,3,Regular,,15.0,SI,CATEGORIA B,0.0,295.0,1548.0,0,,MEDIA SUPERIOR,0,0,17,12.7,68.0,B,550.0,Particular Religioso,1548.0,SIN RIESGO,0.0,0.0
1188555,10,Exonerado,,,SI,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA SUPERIOR,1,0,54,14.09,576.0,A,,Particular,1383.0,RIESGO ALTO,0.0,0.0
1250875,3,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,0,0,12,0.0,54.0,A,170.0,Parroquial,,SIN RIESGO,0.0,0.0
1250298,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,2,3,16,7.75,250.0,A,335.0,Particular,,RIESGO POTENCIAL,0.0,0.0
1269054,2,Becas Otorgadas por el Estado,BECA 18 - ORDINARIA,15.0,SI,CATEGORIA T,0.0,295.0,1383.0,0,,QUINTO SUPERIOR,0,0,12,15.4,15.0,A,,Estatal,,SIN RIESGO,0.0,0.0
1253861,6,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1421.0,0,,TERCIO SUPERIOR,3,0,17,14.0,214.0,A,,Particular,5684.0,RIESGO POTENCIAL,0.0,0.023456262143759486
1251195,3,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1421.0,0,,MEDIA INFERIOR,2,0,23,13.25,209.0,A,,Estatal,,RIESGO ALTO,0.0,0.0
1250898,1,Rendimiento Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1421.0,0,1568.0,MEDIA INFERIOR,0,0,14,13.33,71.0,A,335.0,Particular,,SIN RIESGO,0.0,0.01249239275096467
1250583,0,Regular,,15.0,NO,CATEGORIA B,0.0,295.0,1548.0,0,,,1,0,12,0.0,250.0,A,150.0,Particular Laico,,SIN RIESGO,0.0,0.0
1251162,6,Exonerado,,15.0,SI,CATEGORIA C,0.0,295.0,1798.0,0,,MEDIA INFERIOR,2,0,13,12.0,195.0,A,,Particular,3320.0,RIESGO POTENCIAL,0.0,0.0
1250576,2,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,1,2,19,11.35,182.0,A,200.0,Particular Laico,1383.0,RIESGO ALTO,0.0,0.0
1250329,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,1,0,10,0.0,61.0,A,64.0,Particular,,SIN RIESGO,0.0,0.0
1242410,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,2,2,16,9.0,194.0,A,150.0,Particular Laico,,RIESGO POTENCIAL,0.0,0.0
1250345,1,Rendimiento Superior,,10.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,965.0,MEDIA INFERIOR,2,3,14,9.25,136.0,A,100.0,No Escolarizado,2766.0,RIESGO ALTO,0.0,0.0
1253881,2,Regular,,15.0,SI,CATEGORIA C,0.0,295.0,1798.0,0,,QUINTO SUPERIOR,0,0,10,13.8,94.0,B,470.0,Particular Religioso,,RIESGO ALTO,0.0,0.1557870341507622
1250117,2,Rendimiento Superior,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,1199.0,MEDIA SUPERIOR,1,2,19,11.18,78.0,A,320.0,Particular Religioso,2766.0,RIESGO ALTO,0.0,0.0
1250535,4,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,TERCIO SUPERIOR,2,0,11,12.29,60.0,A,,Particular,,SIN RIESGO,0.0,0.0
1246738,3,Rendimiento Superior,,15.0,NO,CATEGORIA C,0.0,295.0,1798.0,0,,MEDIA SUPERIOR,0,0,16,13.6,124.0,B,650.0,Particular Religioso,,RIESGO ALTO,0.0,0.01086611460027939
1228828,4,Regular,,14.0,SI,CATEGORIA B,0.0,295.0,1716.0,0,,MEDIA INFERIOR,0,1,24,11.6,302.0,A,100.0,Particular,1716.0,RIESGO POTENCIAL,0.0,0.055015235454091586
1235386,7,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,2,1,20,13.2,172.0,A,,Particular,,RIESGO ALTO,0.0,0.0
1235286,2,Exonerado,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,965.0,MEDIA INFERIOR,0,0,17,12.5,123.0,A,330.0,Pre Universitario,851.0,RIESGO ALTO,0.0,0.0
1235520,2,Center For American Educ,,15.0,NO,CATEGORIA J,0.0,100.0,1095.0,0,,MEDIA INFERIOR,1,0,21,15.25,74.0,E,2599.0,Particular Laico,,SIN RIESGO,0.0,0.05778726210450397
1228982,4,Regular,,15.0,NO,CATEGORIA B,0.0,295.0,1548.0,0,4667.0,MEDIA SUPERIOR,0,2,23,11.6,329.0,B,550.0,Particular Religioso,1548.0,RIESGO ALTO,0.0,0.0
1228760,2,Regular,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,0,3,22,10.4,198.0,A,230.0,Particular Laico,1383.0,RIESGO ALTO,0.0,0.001630962676149085
1225264,3,Regular,,15.0,SI,CATEGORIA A,0.0,295.0,1421.0,0,1332.8,MEDIA INFERIOR,3,0,24,13.25,148.0,A,220.0,Particular Religioso,2842.0,SIN RIESGO,0.0,0.0
1229148,4,Exonerado,,,SI,CATEGORIA B,0.0,295.0,1548.0,0,,,3,0,25,0.0,355.0,A,,Particular,,RIESGO ALTO,0.0,0.0
1229039,1,Pre USIL,,15.0,NO,CATEGORIA C,0.0,295.0,1798.0,0,,,0,0,8,0.0,60.0,D,1620.0,Particular Religioso,,SIN RIESGO,0.0,0.005613792356478266
1228831,2,Regular,,,SI,CATEGORIA B,0.0,295.0,1548.0,0,3466.0,MEDIA INFERIOR,2,1,20,10.67,317.0,A,130.0,Particular Laico,5716.0,RIESGO POTENCIAL,0.0,0.0
1228683,2,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,1199.0,MEDIA SUPERIOR,1,0,20,12.94,76.0,A,150.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1241668,3,Sistema de Progresión Universitaria,,15.0,NO,CATEGORIA B,0.0,295.0,1548.0,0,,TERCIO SUPERIOR,0,0,15,13.6,92.0,B,650.0,Particular Religioso,1548.0,RIESGO ALTO,0.0,0.07197454860088509
1230187,7,Exonerado,,15.0,NO,CATEGORIA D,0.0,295.0,2158.0,0,,TERCIO SUPERIOR,0,0,22,13.6,149.0, ,,Particular Religioso,,RIESGO ALTO,0.0,0.12960159397781268
1229960,2,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,0,0,13,14.0,134.0,A,10.0,Particular Religioso,,RIESGO ALTO,0.0,0.0
1228902,2,Regular,,15.0,NO,CATEGORIA D,0.0,295.0,2158.0,0,,,1,0,12,0.0,98.0,A,,Estatal,,SIN RIESGO,0.0,0.0
1228797,3,Regular,,15.0,SI,CATEGORIA E,0.0,295.0,2523.0,0,,TERCIO SUPERIOR,2,0,19,14.83,247.0,C,995.0,Particular Laico,2523.0,RIESGO ALTO,0.0,0.05201532637642658
1229156,4,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,4220.0,MEDIA INFERIOR,2,1,24,11.83,347.0,A,,Particular,177.0,RIESGO ALTO,0.0,0.0
1229164,7,Exonerado,,15.0,SI,CATEGORIA B,0.0,295.0,1586.0,0,,QUINTO SUPERIOR,0,0,14,14.0,77.0,A,,Particular,,SIN RIESGO,0.0,0.0
1228961,3,Regular,,10.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,QUINTO SUPERIOR,2,1,22,13.25,175.0,A,125.0,Parroquial,1383.0,RIESGO ALTO,0.0,0.06724611062455409
1246189,3,Rendimiento Superior,,15.0,SI,CATEGORIA B,0.0,295.0,1548.0,0,,MEDIA SUPERIOR,2,0,18,13.5,137.0,B,430.0,Particular,,RIESGO ALTO,0.0,0.0
1235429,0,Center For American Educ,,19.0,NO,CATEGORIA J,0.0,100.0,1095.0,0,,,1,0,5,0.0,33.0, ,,Particular,,SIN RIESGO,0.0,0.0
1234285,4,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,3618.0,MEDIA INFERIOR,1,2,23,10.33,113.0,A,,Particular,1383.0,SIN RIESGO,0.0,0.0
1233102,6,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1421.0,0,,MEDIA INFERIOR,0,0,30,14.0,297.0,A,,Particular,5142.61,SIN RIESGO,0.0,0.0
1228834,1,Regular,,15.0,NO,CATEGORIA B,0.0,295.0,1586.0,0,84.0,,2,0,20,0.0,195.0, ,,Particular,,SIN RIESGO,0.0,0.024421630531451004
1228819,3,Regular,,15.0,SI,CATEGORIA B,0.0,295.0,1548.0,0,533.0,MEDIA INFERIOR,0,1,23,12.2,325.0,B,385.0,Particular Religioso,,RIESGO ALTO,0.0,0.0
1228953,3,Regular,,15.0,NO,CATEGORIA C,0.0,295.0,1798.0,0,5949.0,MEDIA SUPERIOR,1,0,22,12.33,251.0,C,545.0,Particular Laico,1660.0,RIESGO ALTO,0.0,0.0
1228837,3,Regular,,2.0,SI,CATEGORIA C,0.0,295.0,1798.0,0,5354.1,MEDIA INFERIOR,1,2,20,11.4,203.0,A,300.0,Particular,5394.0,RIESGO ALTO,0.0,0.0
1228930,3,Regular,,15.0,SI,CATEGORIA B,0.0,295.0,1716.0,0,,MEDIA SUPERIOR,1,0,21,14.8,268.0,A,,Particular Laico,1716.0,RIESGO POTENCIAL,0.0,0.0
1228238,3,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,1206.0,MEDIA INFERIOR,1,0,17,14.0,81.0,A,,Particular,426.0,SIN RIESGO,0.0,0.0
1228684,4,Exonerado,,19.0,NO,CATEGORIA A,0.0,295.0,1421.0,0,,MEDIA INFERIOR,1,0,28,12.6,130.0,A,,Estatal,,SIN RIESGO,0.0,0.09236843192631196
1228978,1,Regular,,15.0,SI,CATEGORIA C,0.0,295.0,1798.0,0,,,1,0,14,0.0,258.0,B,470.0,Particular Cooperativo,,SIN RIESGO,0.0,0.0
1229159,3,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,2895.0,MEDIA SUPERIOR,0,0,20,12.8,159.0,A,220.0,Particular Laico,4149.0,RIESGO ALTO,0.0,0.0
1239476,1,Tercio Superior,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,4320.0,MEDIA INFERIOR,1,2,17,10.79,107.0,A,330.0,Particular Laico,4149.0,RIESGO ALTO,0.0,0.0
1229095,3,Exonerado,,10.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,,1,0,19,0.0,366.0,A,,Particular,,SIN RIESGO,0.0,0.0
1235532,7,Exonerado,,15.0,SI,CATEGORIA B,0.0,295.0,1548.0,0,,MEDIA SUPERIOR,0,1,22,12.33,155.0,A,,Particular,,RIESGO ALTO,0.0,0.0
1235484,5,Exonerado,,15.0,SI,CATEGORIA B,0.0,295.0,1586.0,0,,QUINTO SUPERIOR,0,0,28,14.79,147.0,B,500.0,Particular Religioso,1586.0,RIESGO ALTO,0.0,0.2840391298519308
1229161,5,Exonerado,,15.0,SI,CATEGORIA C,0.0,295.0,1798.0,0,,,2,0,25,0.0,200.0,A,,Particular,3596.0,RIESGO ALTO,0.0,0.10295359725354268
1251960,3,Tercio Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1716.0,0,,TERCIO SUPERIOR,0,0,15,13.6,28.0,B,380.0,Particular,,SIN RIESGO,0.0,0.0
1228833,1,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,1,0,17,0.0,281.0,A,180.0,Particular Laico,,SIN RIESGO,0.0,0.0
1228700,0,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1421.0,0,,MEDIA INFERIOR,2,3,25,0.33,776.0,A,310.0,Particular Laico,5142.61,RIESGO POTENCIAL,0.0,0.0
1249632,2,Tercio Superior,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,1568.0,MEDIA INFERIOR,0,1,18,12.8,93.0,A,250.0,Particular Laico,1383.0,SIN RIESGO,0.0,0.0
1228511,2,Pre USIL,,15.0,NO,CATEGORIA B,0.0,295.0,1716.0,0,1901.0,MEDIA INFERIOR,2,0,19,12.43,209.0,A,350.0,Particular Religioso,1716.0,RIESGO ALTO,0.0,0.0
1228331,4,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,TERCIO SUPERIOR,1,0,21,14.8,129.0,A,25.0,Particular Laico,,SIN RIESGO,0.0,0.0
1228179,3,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,2,0,16,11.0,95.0,C,876.0,Otros,851.0,RIESGO ALTO,0.0,0.0
1228989,1,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,3,0,15,0.0,288.0,A,160.0,Parroquial,,SIN RIESGO,0.0,0.0
1204485,3,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1421.0,0,,,1,0,23,0.0,204.0,A,0.0,Estatal,,SIN RIESGO,0.0,0.0
1228980,2,Regular,,15.0,SI,CATEGORIA C,0.0,295.0,1798.0,0,3966.0,MEDIA INFERIOR,1,1,21,11.33,356.0,A,220.0,Particular Laico,,RIESGO POTENCIAL,0.0,0.0
1235497,5,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,,0,0,15,0.0,109.0,A,,Particular,,SIN RIESGO,0.0,0.00998920695670668
1228991,1,Regular,,15.0,SI,CATEGORIA B,0.0,295.0,1548.0,0,1568.0,MEDIA INFERIOR,2,0,15,12.33,271.0,A,64.0,Particular,1429.0,RIESGO ALTO,0.0,0.0
1229032,2,Pre USIL,,,NO,CATEGORIA C,0.0,295.0,1798.0,0,,MEDIA INFERIOR,4,1,17,6.5,291.0,B,1020.0,Particular Religioso,4980.0,RIESGO POTENCIAL,0.0,0.0
1228891,3,Regular,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,,1,0,16,0.0,119.0, ,,Particular,,SIN RIESGO,0.0,0.0
1228758,2,Regular,,10.0,NO,CATEGORIA A,0.0,295.0,1421.0,0,,MEDIA INFERIOR,2,2,18,6.67,248.0,A,152.0,Particular Religioso,3936.0,RIESGO POTENCIAL,0.0,0.0
1246660,4,Regular,,22.0,NO,CATEGORIA A,0.0,295.0,1421.0,0,,QUINTO SUPERIOR,0,0,20,16.4,182.0,A,349.0,Otros,,RIESGO ALTO,0.0,0.19615124496434483
1235544,5,Exonerado,,,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,1,0,13,0.0,178.0,A,,Particular,,SIN RIESGO,0.0,0.0
1229273,2,Exonerado,,15.0,NO,CATEGORIA B,0.0,295.0,1716.0,0,1901.0,,3,0,19,0.0,271.0,A,,Particular,,SIN RIESGO,0.0,0.0
1228845,2,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,1,1,20,11.2,238.0,A,240.0,Particular,,RIESGO POTENCIAL,0.0,0.0
1228871,0,Regular,,15.0,NO,CATEGORIA B,0.0,295.0,1716.0,0,,,2,0,13,0.0,153.0,B,400.0,Particular Laico,,SIN RIESGO,0.0,0.0
1246418,3,Tercio Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA SUPERIOR,1,0,19,11.8,147.0,A,149.0,Particular Cooperativo,1383.0,RIESGO ALTO,0.0,0.0
1228909,2,Regular,,11.0,SI,CATEGORIA B,0.0,295.0,1548.0,0,,,1,0,24,0.0,375.0,A,430.0,Particular Laico,1548.0,RIESGO POTENCIAL,0.0,0.0
1228815,1,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,1568.0,MEDIA INFERIOR,2,1,10,9.25,191.0, ,,Particular Laico,2766.0,RIESGO POTENCIAL,0.0,0.0
1204487,2,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,1,0,14,0.0,149.0,A,0.0,Estatal,,SIN RIESGO,0.0,0.0
1228820,0,Regular,,15.0,NO,CATEGORIA B,0.0,295.0,1548.0,0,5199.0,,0,0,11,0.0,332.0,A,335.0,Particular,,SIN RIESGO,0.0,0.0
1239462,4,Rendimiento Superior,,15.0,NO,CATEGORIA C,0.0,295.0,2133.0,0,,MEDIA SUPERIOR,0,0,22,13.2,64.0,B,770.0,Particular Religioso,,SIN RIESGO,0.0,0.0002579530990679733
1231040,4,Exonerado,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA SUPERIOR,1,0,20,14.0,221.0,A,340.0,Particular,1383.0,RIESGO ALTO,0.0,0.0
1241052,3,Sistema de Progresión Universitaria,,15.0,NO,CATEGORIA B,0.0,295.0,1716.0,0,,QUINTO SUPERIOR,0,0,18,16.25,61.0,B,900.0,Particular Religioso,1716.0,SIN RIESGO,0.0,0.0
1236085,1,Rendimiento Superior,,15.0,NO,CATEGORIA B,0.0,295.0,1548.0,0,,MEDIA INFERIOR,2,1,15,11.25,184.0,B,650.0,Particular,1548.0,RIESGO POTENCIAL,0.0,0.0
1228975,1,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,3,0,16,0.0,142.0,A,150.0,Parroquial,,SIN RIESGO,0.0,0.0
1234736,0,Exonerado,,15.0,NO,CATEGORIA B,0.0,295.0,1548.0,0,,,1,0,13,0.0,169.0,A,390.0,Particular Laico,,SIN RIESGO,0.0,0.0
1235378,7,Exonerado,,20.0,SI,CATEGORIA B,0.0,295.0,1716.0,0,,MEDIA SUPERIOR,1,0,20,11.75,243.0,A,,Particular,,RIESGO ALTO,0.0,0.0
1235431,7,Exonerado,,15.0,SI,CATEGORIA B,0.0,295.0,1548.0,0,,MEDIA INFERIOR,1,1,21,11.75,249.0,A,,Particular,1548.0,RIESGO POTENCIAL,0.0,0.0
1228862,4,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1421.0,0,,MEDIA SUPERIOR,0,4,31,8.0,421.0,A,305.0,Particular,1421.0,RIESGO POTENCIAL,0.0,0.0
1228880,4,Regular,,15.0,SI,CATEGORIA C,0.0,295.0,1798.0,0,,TERCIO SUPERIOR,1,0,23,13.13,97.0,B,780.0,Particular,,SIN RIESGO,0.0,0.04087178532418849
1228223,2,Exonerado,,15.0,NO,CATEGORIA C,0.0,295.0,2095.0,0,,MEDIA INFERIOR,2,4,23,8.5,63.0,B,750.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1238046,3,Exonerado,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,0,0,16,12.4,86.0,A,340.0,Particular Laico,,RIESGO ALTO,0.0,0.0
1228740,2,Exonerado,,22.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,0,1,20,11.8,104.0,A,,Estatal,1383.0,SIN RIESGO,0.0,0.15339309142972277
1229325,4,Exonerado,,15.0,SI,CATEGORIA C,0.0,295.0,1798.0,0,,MEDIA INFERIOR,3,1,23,12.0,300.0,A,,Particular,,RIESGO POTENCIAL,0.0,0.0
1228738,1,Regular,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,1446.0,,1,0,9,0.0,139.0,A,100.0,Estatal,,RIESGO ALTO,0.0,0.0
1228916,1,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,2,0,13,0.0,200.0,A,250.0,Particular Religioso,,SIN RIESGO,0.0,0.0
1229160,3,Exonerado,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,0,0,10,0.0,56.0,A,,Particular,,SIN RIESGO,0.0,0.0031024242424877472
1235314,4,Exonerado,,15.0,NO,CATEGORIA B,0.0,295.0,1548.0,0,4056.0,MEDIA INFERIOR,1,1,22,9.67,320.0,A,,Particular,1548.0,RIESGO POTENCIAL,0.0,0.0
1234363,4,Exonerado,,15.0,SI,CATEGORIA D,0.0,295.0,2158.0,0,7029.0,MEDIA INFERIOR,0,2,19,10.6,326.0,A,,Particular,2158.0,RIESGO POTENCIAL,0.0,0.0
1228526,3,Exonerado,,15.0,NO,CATEGORIA A,0.0,295.0,1421.0,0,,MEDIA SUPERIOR,0,0,19,14.2,73.0,A,200.0,Particular Religioso,,SIN RIESGO,0.0,0.106018080885192
1229267,5,Exonerado,,15.0,SI,CATEGORIA C,0.0,295.0,1836.0,0,610.0,MEDIA SUPERIOR,1,0,22,0.0,274.0,A,,Particular,,SIN RIESGO,0.0,0.0
1233335,1,Exonerado,,15.0,NO,CATEGORIA E,0.0,295.0,2523.0,0,,,2,0,13,0.0,124.0,A,,Particular,,SIN RIESGO,0.0,0.0
1228825,2,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,0,3,22,10.75,164.0,A,150.0,Particular Laico,,RIESGO POTENCIAL,0.0,0.002187835781537629
1229306,7,Exonerado,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,QUINTO SUPERIOR,0,0,22,15.6,221.0,A,,Particular,1383.0,RIESGO ALTO,0.0,0.28043303894224164
1228931,1,Regular,,15.0,NO,CATEGORIA B,0.0,295.0,1548.0,0,,,2,0,10,0.0,228.0,A,160.0,No Escolarizado,,SIN RIESGO,0.0,0.0
1228956,3,Regular,,15.0,NO,CATEGORIA B,0.0,295.0,1548.0,0,,MEDIA INFERIOR,1,1,20,11.25,278.0,A,,Estatal,,RIESGO POTENCIAL,0.0,0.0
1228614,2,Rendimiento Superior,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,2,1,16,10.33,72.0,A,64.0,Particular,1383.0,RIESGO ALTO,0.0,0.0
1233728,3,Exonerado,,,NO,CATEGORIA A,0.0,295.0,1383.0,0,1568.0,MEDIA SUPERIOR,3,0,19,15.0,103.0, ,,Particular,1383.0,RIESGO ALTO,0.0,0.04612505649544559
1228849,4,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,TERCIO SUPERIOR,1,0,22,13.8,172.0,A,440.0,Pre Universitario,1383.0,RIESGO ALTO,0.0,0.0
1204088,3,Pre USIL,,,SI,CATEGORIA B,0.0,295.0,1716.0,0,,MEDIA INFERIOR,4,1,34,7.5,701.0,A,450.0,Particular Laico,4752.0,RIESGO POTENCIAL,0.0,0.0
1236462,0,Rendimiento Superior,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,0,0,7,0.0,100.0,A,170.0,Particular,,SIN RIESGO,0.0,0.0
1228615,0,Regular,,,NO,CATEGORIA A,0.0,295.0,1383.0,0,1533.0,,3,0,16,0.0,267.0,A,100.0,Particular Laico,,RIESGO POTENCIAL,0.0,0.0
1228554,1,Pre USIL,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,2,0,15,0.0,95.0,A,290.0,Particular Laico,,SIN RIESGO,0.0,0.0
1227716,5,Exonerado,,15.0,SI,CATEGORIA C,0.0,295.0,1798.0,0,,QUINTO SUPERIOR,1,0,24,15.0,97.0,B,870.0,Particular,,RIESGO ALTO,0.0,0.0
1234377,2,Rendimiento Superior,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA SUPERIOR,1,1,17,12.43,121.0,A,315.0,Particular,,RIESGO ALTO,0.0,0.0
1228321,2,Exonerado,,,NO,CATEGORIA A,0.0,295.0,1383.0,0,,,1,0,14,0.0,141.0,A,140.0,Particular Laico,,SIN RIESGO,0.0,0.0
1229271,5,Exonerado,,22.0,SI,CATEGORIA B,0.0,295.0,1716.0,0,,MEDIA SUPERIOR,0,0,20,13.4,148.0,A,,Particular,3061.0,RIESGO ALTO,0.0,0.0
1235453,9,Exonerado,,15.0,SI,CATEGORIA D,0.0,295.0,2158.0,0,,MEDIA SUPERIOR,0,0,23,13.6,225.0,A,,Particular,,RIESGO ALTO,0.0,0.0024666614051865234
1229317,6,Exonerado,,15.0,NO,CATEGORIA C,0.0,295.0,2059.0,0,,TERCIO SUPERIOR,1,1,24,12.8,18.0,A,,Particular,2059.0,SIN RIESGO,0.0,0.3182419105231448
1228736,1,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,691.5,0,,,1,0,24,0.0,355.0,B,800.0,Particular Laico,,RIESGO POTENCIAL,0.0,0.0
1228792,3,Regular,,15.0,NO,CATEGORIA A,0.0,295.0,1421.0,0,,MEDIA INFERIOR,3,1,26,11.75,234.0,A,170.0,Parroquial,,RIESGO ALTO,0.0,0.0
1228995,0,Pre USIL,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA INFERIOR,1,4,10,8.0,181.0,A,100.0,Particular Laico,1383.0,RIESGO POTENCIAL,0.0,0.0
1229130,3,Exonerado,,16.0,NO,CATEGORIA B,0.0,295.0,1548.0,0,,,1,0,14,0.0,100.0, ,,Otros,,SIN RIESGO,0.0,0.0
1228772,4,Exonerado,,12.0,SI,CATEGORIA B,0.0,295.0,1586.0,0,5146.39,MEDIA INFERIOR,0,1,18,11.6,289.0,A,,Particular,,RIESGO POTENCIAL,0.0,0.03995221939020836
1229108,3,Exonerado,,15.0,NO,CATEGORIA A,0.0,295.0,1383.0,0,,MEDIA SUPERIOR,0,1,20,12.2,140.0,A,130.0,Pre Universitario,1383.0,RIESGO ALTO,0.0,0.0
1228983,4,Regular,,15.0,SI,CATEGORIA A,0.0,295.0,1383.0,0,,TERCIO SUPERIOR,1,0,22,13.0,109.0,A,,Estatal,1383.0,SIN RIESGO,0.0,0.0
1229165,5,Exonerado,,15.0,SI,CATEGORIA B,0.0,295.0,1548.0,0,,MEDIA INFERIOR,1,0,19,14.88,196.0,A,,Particular,,RIESGO ALTO,0.0,0.0
1229022,3,Pre USIL,,,SI,CATEGORIA C,0.0,295.0,1798.0,0,,MEDIA INFERIOR,0,0,20,12.67,268.0,B,850.0,Particular Laico,1660.0,RIESGO POTENCIAL,0.0,0.027111667054846956
1233050,4,Exonerado,,15.0,SI,CATEGORIA B,0.0,295.0,1716.0,0,,MEDIA INFERIOR,3,1,18,9.75,274.0,A,,Particular,1716.0,RIESGO POTENCIAL,0.0,0.0
